科目分類,貸借区分,連結科目コード,連結科目名（日）,連結科目名（英）,換算区分,金額区分,備考,設定日時,最終更新日時
販売費及び一般管理費,借方,520250,旅費交通費,Travel and transportation expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520260,通信費,Communication expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520270,水道光熱費,Utilities expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520280,修繕費,Repair expenses-SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520290,備品・消耗品費,Office supplies expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520300,車両費,Vehicle expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520310,リース料,Leases expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520320,地代家賃,Rent expenses on land and buildings - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520330,保険料,Insurance expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520340,租税公課,Taxes and dues - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520350,支払手数料,Commission expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520360,支払報酬,Fee expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520370,会議費,Meeting expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520380,寄付金,Donations - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520390,新聞図書費,Book expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520400,減価償却費,Depreciation - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520410,繰延資産償却,Amortization of deferred assets - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520420,貸倒引当金繰入額,Provision of allowance for doubtful accounts - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520430,貸倒損失,Bad debts expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520440,雑費,Miscellaneous expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520500,のれん償却費,Amortization of goodwill - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外収益,貸方,611100,受取利息,Interest income - NOI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外収益,貸方,611200,受取配当金,Dividend income - NOI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外収益,貸方,611300,貸倒引当金戻入額,Reversal of allowance for doubtful accounts - NOI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外収益,貸方,611400,雑収入,Miscellaneous income - NOI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外収益,貸方,611500,有価証券売却益,Gain on sales of securities - NOI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外収益,貸方,611600,仕入割引,Purchase discounts - NOI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外収益,貸方,611700,負ののれん償却益,Amortization of negative goodwill - NOI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外収益,貸方,611800,持分法投資利益,Share of profit of entities accounted for using equity method - NOI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外収益,貸方,611900,為替差益,Foreign exchange gains - NOI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外費用,借方,621100,支払利息,Interest expenses - NOE,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外費用,借方,621200,雑損失,Miscellaneous loss - NOE,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外費用,借方,621300,有価証券売却損,Loss on sales of securities - NOE,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外費用,借方,621400,売上割引,Sales discounts - NOE,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外費用,借方,621800,持分法投資損失,Share of loss of entities accounted for using equity method - NOE,AR,+,,2023/12/21 16:57,2023/12/21 16:57
営業外費用,借方,621900,為替差損,Foreign exchange losses - NOE,AR,+,,2023/12/21 16:57,2023/12/21 16:57
特別利益,貸方,711100,前期損益修正益,Gain on the previous period - EI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
特別利益,貸方,711200,固定資産売却益,Gain on sales of non-current assets - EI,AR,+,hfTpQpzx22,2023/12/21 16:57,2024/5/2 09:08
特別利益,貸方,711300,投資有価証券売却益,Gain on sales of investment securities - EI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
特別利益,貸方,711700,負ののれん発生益,Gain on bargain purchase - EI,AR,+,,2023/12/21 16:57,2023/12/21 16:57
特別損失,借方,721100,前期損益修正損,Loss for the previous period - EL,AR,+,,2023/12/21 16:57,2023/12/21 16:57
特別損失,借方,721200,固定資産売却損,Loss on sales of non-current assets - EL,AR,+,,2023/12/21 16:57,2023/12/21 16:57
特別損失,借方,721300,投資有価証券売却損,Loss on sales of investment securities - EL,AR,+,,2023/12/21 16:57,2023/12/21 16:57
特別損失,借方,721310,投資有価証券評価損,Loss on valuation of investment securities - EL,AR,+,,2023/12/21 16:57,2023/12/21 16:57
特別損失,借方,721400,固定資産除却損,Loss on retirement of non-current assets - EL,AR,+,,2023/12/21 16:57,2023/12/21 16:57
